id,emotion,emoji
1,Complaint,😠
2,Favor,🙏
3,Impressed,😲
4,Fed_up,😤
5,Gratitude,🙌
6,Sadness,😢
7,Anger,😡
8,Respect,🙇‍♂️
9,Expectation,🤞
10,Arrogance,😏
11,Disappointment,😞
12,Determination,💪
13,Distrust,🤨
14,Satisfaction,😊
15,Comfort,🤗
16,Interest,🤔
17,Affectionate,😍
18,Embarrassment,😳
19,Terror,😱
20,Despair,😩
21,Pathetic,😔
22,Repulsion,🤢
23,Annoyance,😒
24,Speechless,😶
25,None,😐
26,Defeat,😖
27,Boredom,😪
28,Exhaustion,😩
29,Excitement,😃
30,Realization,💡
31,Guilt,😓
32,Hatred,😠
33,Delight,😁
34,Confusion,😕
35,Shock,😮
36,Reluctance,😬
37,Bitterness,😒
38,Boring,😴
39,Pity,😢
40,Surprise,😯
41,Happiness,😊
42,Anxiety,😟
43,Joy,😄
44,Trust,🤝

